event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days,time_since_last_event_sec,time_since_last_login_sec,time_since_last_deposit_sec,roll_5_trade_vol_mean,roll_5_trade_vol_std,roll_5_pnl_mean,roll_10_trade_vol_mean,roll_10_trade_vol_std,roll_10_pnl_mean,roll_30_trade_vol_mean,roll_30_trade_vol_std,roll_30_pnl_mean,roll_5_click_rate_mean,roll_10_click_rate_mean,roll_30_click_rate_mean,burst_count_5min,burst_count_30min,unique_ips_last_10_logins,unique_countries_last_10_logins,unique_devices_last_10_logins,rolling_failed_attempts_5,roll_5_deposit_sum,withdrawal_to_deposit_ratio,trade_vol_zscore,pnl_zscore,amount_zscore,session_duration_zscore,lstm_score,lstm_prediction
EVT_304595,USER_0000,trade,2024-01-01 01:04:36,1,0,0,1,wash_trader,,,,,,,USDCHF,0.08,9814.32,151.7,777.05,1425.0,0.827,0.0,,,,,,,,325,0.0,0.0,0.0,9814.32,0.0,151.7,9814.32,0.0,151.7,9814.32,0.0,151.7,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5654313909614548,-0.4234053679180803,0.0,0.0,0.0,0
EVT_637273,USER_0000,trade,2024-01-01 16:01:51,16,0,0,1,wash_trader,,,,,,,USDCHF,1.34,8520.61,50.15,3724.68,3270.0,0.718,1.0,,,,,,,,325,53835.0,0.0,0.0,9167.465,914.7911138888478,100.925,9167.465,914.7911138888478,100.925,9167.465,914.7911138888478,100.925,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5828835965409389,-0.4840370845496841,0.0,0.0,0.0,0
EVT_749975,USER_0000,trade,2024-01-02 14:09:59,14,1,0,1,wash_trader,,,,,,,USDCHF,0.49,12325.36,-81.31,3358.94,1586.0,1.039,0.0,,,,,,,,326,79688.0,0.0,0.0,10220.096666666666,1934.5598124724224,40.18,10220.096666666666,1934.5598124724224,40.18,10220.096666666666,1934.5598124724224,40.18,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5315573494078548,-0.5625269463752934,0.0,0.0,0.0,0
EVT_969821,USER_0000,login,2024-01-03 04:47:38,4,2,0,1,wash_trader,172.16.4.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,327,52659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVT_299345,USER_0000,withdrawal,2024-01-04 08:32:44,8,3,0,1,wash_trader,,,,,,,,,,,,,,,1414.77,crypto,0.0,,,,,328,99906.0,99906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1414770000000.0,0.0,0.0,-1.180471266793554,0.0,0.0,0
EVT_980303,USER_0000,trade,2024-01-05 14:04:34,14,4,0,1,wash_trader,,,,,,,USDCHF,0.17,9101.94,373.22,4563.67,2403.0,0.767,0.0,,,,,,,,329,106310.0,206216.0,0.0,9940.5575,1675.584384075697,123.44,9940.5575,1675.584384075697,123.44,9940.5575,1675.584384075697,123.44,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5750414289225997,-0.2911440398212525,0.0,0.0,0.0,0
EVT_884303,USER_0000,kyc_change,2024-01-06 03:27:37,3,5,1,1,wash_trader,,,,,,,,,,,,,,,,,,,,,phone_update,330,48183.0,254399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVT_120194,USER_0000,login,2024-01-06 13:01:12,13,5,1,1,wash_trader,172.16.4.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,330,34415.0,288814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVT_682753,USER_0000,trade,2024-01-08 06:27:39,6,0,0,1,wash_trader,,,,,,,USDCHF,1.97,10186.49,-70.31,1612.3,521.0,0.859,0.0,,,,,,,,332,149187.0,149187.0,0.0,9989.744,1455.2607429701386,84.69,9989.744,1455.2607429701386,84.69,9989.744,1455.2607429701386,84.69,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5604108010684211,-0.5559592567352379,0.0,0.0,0.0,0
EVT_495073,USER_0000,trade,2024-01-08 11:48:56,11,0,0,1,wash_trader,,,,,,,USDCHF,1.54,10870.14,236.68,4516.33,1261.0,0.916,0.0,,,,,,,,332,19277.0,168464.0,0.0,10200.908,1499.375510227508,101.686,10136.476666666667,1350.336964178448,110.02166666666666,10136.476666666667,1350.336964178448,110.02166666666666,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.5511883320881903,-0.3726669801351784,0.0,0.0,7.778831481933594,1
