event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days
EVT_499948,USER_0476,trade,2024-01-01 00:01:19,0,0,0,0,none,,,,,,,USDCHF,0.51,3970.59,-148.74,1821.64,997.0,0.652,1.0,,,,,,,,208
EVT_982688,USER_0069,session,2024-01-01 00:07:23,0,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,14.2,63.0,4.44,,305
EVT_760229,USER_0169,session,2024-01-01 00:08:08,0,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,48.1,20.0,0.42,,161
EVT_276621,USER_0114,login,2024-01-01 00:10:57,0,0,0,0,none,10.18.64.1,DE,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,25
EVT_952061,USER_0086,trade,2024-01-01 00:11:06,0,0,0,0,none,,,,,,,BTCUSD,0.32,13363.94,-156.86,3972.43,3142.0,0.843,1.0,,,,,,,,251
EVT_895128,USER_0005,trade,2024-01-01 00:12:54,0,0,0,1,structurer,,,,,,,GBPUSD,0.34,1963.84,286.47,4421.45,1573.0,1.23,0.0,,,,,,,,32
EVT_687349,USER_0469,trade,2024-01-01 00:13:01,0,0,0,0,none,,,,,,,USDCHF,1.02,2449.87,244.37,655.53,3566.0,0.555,0.0,,,,,,,,264
EVT_476342,USER_0063,session,2024-01-01 00:14:42,0,0,0,0,none,,,android_app,,,,,,,,,,,,,,,24.7,58.0,2.35,,33
EVT_849767,USER_0199,trade,2024-01-01 00:16:27,0,0,0,0,none,,,,,,,BTCUSD,0.53,22127.28,55.55,3658.18,433.0,0.972,0.0,,,,,,,,153
EVT_506388,USER_0254,kyc_change,2024-01-01 00:17:14,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,43
EVT_170518,USER_0381,kyc_change,2024-01-01 00:21:03,0,0,0,0,none,,,,,,,,,,,,,,,,,,,,,address_update,311
EVT_277671,USER_0309,trade,2024-01-01 00:22:37,0,0,0,0,none,,,,,,,GBPUSD,1.15,25256.33,333.09,614.11,2195.0,1.036,1.0,,,,,,,,137
EVT_831992,USER_0023,session,2024-01-01 00:23:06,0,0,0,1,dormant_withdrawer,,,chrome_win,,,,,,,,,,,,,,,6.9,14.0,2.03,,326
EVT_743187,USER_0267,session,2024-01-01 00:23:42,0,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,29.7,10.0,0.34,,98
EVT_379629,USER_0263,deposit,2024-01-01 00:27:38,0,0,0,0,none,,,,,,,,,,,,,,,895.98,card,0.0,,,,,127
EVT_204136,USER_0058,trade,2024-01-01 00:31:46,0,0,0,0,none,,,,,,,GBPUSD,0.01,14757.76,104.28,2412.92,1875.0,0.607,1.0,,,,,,,,38
EVT_749358,USER_0452,session,2024-01-01 00:37:51,0,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,32.8,61.0,1.86,,282
EVT_842599,USER_0248,login,2024-01-01 00:49:24,0,0,0,0,none,10.214.77.1,RU,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,7
EVT_350521,USER_0044,withdrawal,2024-01-01 00:52:45,0,0,0,0,none,,,,,,,,,,,,,,,998.49,bank,0.0,,,,,256
EVT_729942,USER_0156,session,2024-01-01 00:52:57,0,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,49.4,21.0,0.43,,198
EVT_506711,USER_0438,deposit,2024-01-01 00:57:08,0,0,0,0,none,,,,,,,,,,,,,,,2211.25,crypto,0.0,,,,,191
EVT_306977,USER_0456,deposit,2024-01-01 01:03:02,1,0,0,0,none,,,,,,,,,,,,,,,1286.23,crypto,0.0,,,,,100
EVT_304595,USER_0000,trade,2024-01-01 01:04:36,1,0,0,1,wash_trader,,,,,,,USDCHF,0.08,9814.32,151.7,777.05,1425.0,0.827,0.0,,,,,,,,325
EVT_917507,USER_0116,trade,2024-01-01 01:05:46,1,0,0,0,none,,,,,,,USDCHF,1.86,19497.25,139.56,911.05,570.0,1.1,1.0,,,,,,,,34
EVT_565106,USER_0336,deposit,2024-01-01 01:06:19,1,0,0,0,none,,,,,,,,,,,,,,,1521.47,crypto,0.0,,,,,3
EVT_559198,USER_0370,trade,2024-01-01 01:06:47,1,0,0,0,none,,,,,,,USDJPY,0.51,15665.11,-79.26,4347.7,2613.0,1.087,1.0,,,,,,,,198
EVT_591763,USER_0473,login,2024-01-01 01:10:26,1,0,0,0,none,10.152.211.1,IN,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,231
EVT_672660,USER_0370,trade,2024-01-01 01:19:46,1,0,0,0,none,,,,,,,XAUUSD,1.72,19355.21,-45.09,2092.04,3125.0,1.342,1.0,,,,,,,,198
EVT_629018,USER_0366,session,2024-01-01 01:23:20,1,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,21.4,27.0,1.26,,52
EVT_431936,USER_0245,trade,2024-01-01 01:23:37,1,0,0,0,none,,,,,,,EURUSD,0.39,14647.09,-21.65,776.48,1510.0,1.03,0.0,,,,,,,,133
EVT_547659,USER_0177,login,2024-01-01 01:27:35,1,0,0,0,none,10.230.96.1,NG,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,341
EVT_295283,USER_0268,trade,2024-01-01 01:31:31,1,0,0,0,none,,,,,,,USDCHF,1.67,26262.62,-84.18,3372.88,1580.0,1.024,1.0,,,,,,,,179
EVT_646015,USER_0309,login,2024-01-01 01:34:05,1,0,0,0,none,10.143.16.1,UK,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,137
EVT_746057,USER_0128,trade,2024-01-01 01:34:41,1,0,0,0,none,,,,,,,BTCUSD,0.85,26757.83,-45.54,1802.95,402.0,0.951,0.0,,,,,,,,223
EVT_958678,USER_0211,session,2024-01-01 01:37:15,1,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,12.6,52.0,4.13,,165
EVT_592292,USER_0326,trade,2024-01-01 01:40:53,1,0,0,0,none,,,,,,,USDCHF,0.42,23663.58,-143.04,4144.01,505.0,1.313,1.0,,,,,,,,194
EVT_611079,USER_0436,trade,2024-01-01 01:44:42,1,0,0,0,none,,,,,,,GBPUSD,0.63,22547.36,276.83,2836.0,2468.0,1.146,0.0,,,,,,,,117
EVT_969209,USER_0172,session,2024-01-01 01:52:01,1,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,27.5,50.0,1.82,,296
EVT_300830,USER_0473,trade,2024-01-01 01:53:39,1,0,0,0,none,,,,,,,GBPUSD,0.02,6089.08,-368.75,4077.85,702.0,1.225,0.0,,,,,,,,231
EVT_558776,USER_0454,trade,2024-01-01 02:02:23,2,0,0,0,none,,,,,,,GBPUSD,1.11,9032.82,97.4,2374.24,2330.0,1.06,1.0,,,,,,,,290
EVT_489020,USER_0392,session,2024-01-01 02:05:29,2,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,8.4,17.0,2.02,,15
EVT_656280,USER_0079,kyc_change,2024-01-01 02:10:31,2,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,164
EVT_507127,USER_0344,login,2024-01-01 02:14:13,2,0,0,0,none,10.214.70.1,BR,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,118
EVT_321288,USER_0104,login,2024-01-01 02:15:04,2,0,0,0,none,10.0.236.1,RU,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,224
EVT_166469,USER_0054,session,2024-01-01 02:28:56,2,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,51.9,46.0,0.89,,204
EVT_234798,USER_0114,trade,2024-01-01 02:29:29,2,0,0,0,none,,,,,,,AUDUSD,0.24,27562.82,103.66,4668.82,2909.0,1.026,1.0,,,,,,,,25
EVT_464248,USER_0375,trade,2024-01-01 02:29:34,2,0,0,0,none,,,,,,,AUDUSD,1.74,4348.35,33.95,1015.36,1640.0,0.991,1.0,,,,,,,,358
EVT_497778,USER_0141,session,2024-01-01 02:29:47,2,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,55.6,34.0,0.61,,281
EVT_253156,USER_0432,trade,2024-01-01 02:33:48,2,0,0,0,none,,,,,,,EURUSD,0.04,11819.19,58.21,2115.63,561.0,0.936,0.0,,,,,,,,197
EVT_678008,USER_0111,withdrawal,2024-01-01 02:35:48,2,0,0,0,none,,,,,,,,,,,,,,,610.47,crypto,0.0,,,,,150
EVT_848282,USER_0121,login,2024-01-01 02:35:52,2,0,0,0,none,10.92.87.1,UK,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,99
EVT_510079,USER_0495,login,2024-01-01 02:37:47,2,0,0,0,none,10.244.215.1,UK,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,82
EVT_306399,USER_0025,login,2024-01-01 02:38:56,2,0,0,0,none,10.30.84.1,RU,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,254
EVT_831021,USER_0351,trade,2024-01-01 02:39:41,2,0,0,0,none,,,,,,,EURUSD,1.24,8898.03,112.78,3696.05,1558.0,0.827,0.0,,,,,,,,194
EVT_812750,USER_0029,login,2024-01-01 02:41:15,2,0,0,0,none,10.206.61.1,BR,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,333
EVT_917306,USER_0241,deposit,2024-01-01 02:44:13,2,0,0,0,none,,,,,,,,,,,,,,,2286.92,crypto,0.0,,,,,347
EVT_921379,USER_0292,login,2024-01-01 02:47:45,2,0,0,0,none,10.170.155.1,IN,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,319
EVT_125166,USER_0072,session,2024-01-01 02:49:13,2,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,23.4,76.0,3.25,,335
EVT_978630,USER_0409,trade,2024-01-01 02:49:15,2,0,0,0,none,,,,,,,GBPUSD,0.93,1827.17,-45.74,1391.04,927.0,0.706,0.0,,,,,,,,126
EVT_573980,USER_0004,withdrawal,2024-01-01 02:50:56,2,0,0,1,brute_forcer,,,,,,,,,,,,,,,935.47,crypto,0.0,,,,,334
EVT_140908,USER_0016,trade,2024-01-01 03:00:11,3,0,0,1,device_switcher,,,,,,,AUDUSD,1.4,2716.72,-85.45,2678.1,3070.0,0.941,1.0,,,,,,,,200
EVT_170115,USER_0175,trade,2024-01-01 03:02:48,3,0,0,0,none,,,,,,,EURUSD,1.63,17516.75,135.85,562.98,119.0,1.124,0.0,,,,,,,,221
EVT_505089,USER_0180,withdrawal,2024-01-01 03:02:51,3,0,0,0,none,,,,,,,,,,,,,,,451.07,bank,0.0,,,,,101
EVT_303341,USER_0285,trade,2024-01-01 03:04:11,3,0,0,0,none,,,,,,,BTCUSD,0.7,7488.78,-90.93,632.67,1674.0,0.471,0.0,,,,,,,,135
EVT_460556,USER_0380,trade,2024-01-01 03:04:52,3,0,0,0,none,,,,,,,EURUSD,1.34,5611.42,-287.58,2938.72,3305.0,1.039,0.0,,,,,,,,127
EVT_653828,USER_0306,trade,2024-01-01 03:09:49,3,0,0,0,none,,,,,,,XAUUSD,0.54,26349.28,125.11,4724.94,2343.0,1.372,0.0,,,,,,,,343
EVT_268781,USER_0264,trade,2024-01-01 03:10:09,3,0,0,0,none,,,,,,,EURUSD,0.17,2696.75,86.57,2100.61,494.0,1.023,0.0,,,,,,,,179
EVT_388243,USER_0212,deposit,2024-01-01 03:10:38,3,0,0,0,none,,,,,,,,,,,,,,,1682.39,card,0.0,,,,,339
EVT_801252,USER_0200,kyc_change,2024-01-01 03:13:17,3,0,0,0,none,,,,,,,,,,,,,,,,,,,,,address_update,74
EVT_177049,USER_0127,deposit,2024-01-01 03:13:32,3,0,0,0,none,,,,,,,,,,,,,,,1716.2,card,0.0,,,,,291
EVT_796677,USER_0049,session,2024-01-01 03:14:57,3,0,0,0,none,,,android_app,,,,,,,,,,,,,,,29.7,20.0,0.67,,149
EVT_677372,USER_0361,deposit,2024-01-01 03:16:15,3,0,0,0,none,,,,,,,,,,,,,,,1932.2,bank,0.0,,,,,198
EVT_391974,USER_0439,trade,2024-01-01 03:20:37,3,0,0,0,none,,,,,,,AUDUSD,1.2,1633.28,-220.0,2463.04,763.0,0.915,0.0,,,,,,,,260
EVT_195660,USER_0295,deposit,2024-01-01 03:23:18,3,0,0,0,none,,,,,,,,,,,,,,,1691.34,crypto,0.0,,,,,29
EVT_671063,USER_0260,trade,2024-01-01 03:23:30,3,0,0,0,none,,,,,,,BTCUSD,1.62,16409.1,-359.03,637.03,3229.0,0.9,0.0,,,,,,,,323
EVT_888589,USER_0192,login,2024-01-01 03:24:19,3,0,0,0,none,10.46.113.1,CN,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,344
EVT_570567,USER_0168,login,2024-01-01 03:25:53,3,0,0,0,none,10.10.166.1,UK,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,7
EVT_756117,USER_0326,withdrawal,2024-01-01 03:26:11,3,0,0,0,none,,,,,,,,,,,,,,,909.62,bank,0.0,,,,,194
EVT_754641,USER_0245,session,2024-01-01 03:28:11,3,0,0,0,none,,,android_app,,,,,,,,,,,,,,,29.8,12.0,0.4,,133
EVT_956114,USER_0376,deposit,2024-01-01 03:30:47,3,0,0,0,none,,,,,,,,,,,,,,,1406.87,card,0.0,,,,,58
EVT_510850,USER_0067,session,2024-01-01 03:31:28,3,0,0,0,none,,,android_app,,,,,,,,,,,,,,,11.3,46.0,4.07,,257
EVT_932316,USER_0298,trade,2024-01-01 03:38:44,3,0,0,0,none,,,,,,,USDCHF,0.87,20746.25,-157.68,1767.37,1292.0,1.019,0.0,,,,,,,,56
EVT_577226,USER_0494,login,2024-01-01 03:41:07,3,0,0,0,none,10.190.175.1,UK,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,259
EVT_667965,USER_0144,withdrawal,2024-01-01 03:41:41,3,0,0,0,none,,,,,,,,,,,,,,,1247.53,crypto,0.0,,,,,77
EVT_216164,USER_0461,withdrawal,2024-01-01 03:45:09,3,0,0,0,none,,,,,,,,,,,,,,,348.26,bank,0.0,,,,,267
EVT_985592,USER_0016,deposit,2024-01-01 03:45:58,3,0,0,1,device_switcher,,,,,,,,,,,,,,,2907.61,card,0.0,,,,,200
EVT_198024,USER_0368,trade,2024-01-01 03:48:12,3,0,0,0,none,,,,,,,BTCUSD,1.89,12097.22,242.71,866.49,2433.0,0.977,1.0,,,,,,,,112
EVT_649300,USER_0270,trade,2024-01-01 03:49:42,3,0,0,0,none,,,,,,,USDJPY,1.81,31797.63,464.1,1725.58,732.0,1.109,1.0,,,,,,,,8
EVT_368109,USER_0254,deposit,2024-01-01 03:52:37,3,0,0,0,none,,,,,,,,,,,,,,,2154.71,card,0.0,,,,,43
EVT_718722,USER_0377,trade,2024-01-01 03:54:40,3,0,0,0,none,,,,,,,USDCHF,0.52,5536.8,-570.93,1650.64,367.0,1.099,0.0,,,,,,,,156
